seed,cell,policy,k,epsilon_label,success_rate,mean_steps,mean_final_distance,mean_total_reward,frac_success_T_le_3,frac_success_T_4_or_5,frac_success_T_gt_5,mean_tox_path,mean_common_essential_per_ep,fraction_zero_common_essential,mean_unc_path_max,mean_unc_path_mean
1,k5_bin8-10_splitood,greedy_dyn_2_fused,5,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
1,k5_bin8-10_splitood,greedy_dyn_3_fused,5,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
1,k5_bin8-10_splitood,greedy_dyn_5_fused,5,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
1,k8_bin8-10_splitood,PPO_BCD,8,p15,1.0,2.295,2.689109748896737,0.9795472245904494,1.0,0.0,0.0,0.0,0.0,1.0,0.40905550819101266,0.36641624355749414
1,k8_bin8-10_splitood,random_uniform_valid,8,p15,0.805,4.645,3.009978628079491,0.6755564503336347,0.39751552795031053,0.422360248447205,0.18012422360248448,0.07102469398640096,0.235,0.795,0.41582160535450513,0.3461195523164906
1,k8_bin8-10_splitood,always_noop,8,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k8_bin8-10_splitood,greedy_dyn_1_fused,8,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
1,k8_bin8-10_splitood,greedy_dyn_2_fused,8,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
1,k8_bin8-10_splitood,greedy_dyn_3_fused,8,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
1,k8_bin8-10_splitood,greedy_dyn_5_fused,8,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
7,k2_bin6-8_splitood,PPO_BCD,2,p15,0.7,1.995,2.7957359050200195,0.681552216934393,1.0,0.0,0.0,0.0,0.0,1.0,0.36895566131213786,0.340331984975996
7,k2_bin6-8_splitood,random_uniform_valid,2,p15,0.135,1.98,3.9035471088914506,0.11022117415041548,1.0,0.0,0.0,0.028626302350312473,0.075,0.925,0.3633239122910654,0.33903586901954286
7,k2_bin6-8_splitood,always_noop,2,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,k2_bin6-8_splitood,greedy_dyn_1_fused,2,p15,0.905,1.995,2.5290405770233777,0.8840346941136166,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.3398629540217918
7,k2_bin6-8_splitood,greedy_dyn_2_fused,2,p15,0.91,2.0,2.561264371581456,0.8917253217823995,1.0,0.0,0.0,0.0,0.0,1.0,0.3654935643520081,0.3401948502547701
7,k2_bin8-10_splitood,PPO_BCD,2,p15,0.705,2.0,3.0317047423665042,0.6848479281200224,1.0,0.0,0.0,0.0,0.0,1.0,0.4030414375995515,0.3797766700247285
